Africa,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Total Billion USD (2024, MER)",153.4,128.8,111.4,101.2,95.6,76.3,82.8,92.3,107.5,116.7,104.4
of which: Clean energy,28.7,29.2,27.2,26.1,24.7,25.2,29.9,35.9,40.4,47.4,50.2
Fuels,112.1,86.6,72.7,67.0,64.7,46.6,47.9,52.1,62.8,64.9,53.3
Fossil fuels,111.9,86.2,72.3,66.8,64.6,46.5,47.9,52.0,62.7,64.8,53.2
Oil,81.0,57.7,45.3,44.4,40.3,28.7,29.9,34.8,43.6,44.6,36.3
Gas,28.9,26.1,24.6,20.3,22.2,16.2,16.3,15.6,17.4,18.4,15.1
Coal,1.9,2.4,2.5,2.1,2.1,1.5,1.7,1.7,1.7,1.8,1.8
Clean Fuels,0.3,0.4,0.4,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1
Direct Air Capture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power,36.4,36.0,32.1,27.3,23.5,21.8,25.5,30.1,32.7,37.6,37.5
Generation,24.3,24.0,21.0,17.2,15.5,15.2,17.7,20.9,23.6,24.8,23.9
Coal (unabated),2.0,2.1,2.1,1.7,1.5,1.6,1.3,0.9,0.7,0.3,0.0
Oil and natural gas (unabated),10.9,11.4,9.9,6.6,4.8,3.1,3.7,3.6,3.8,4.3,1.7
Waste: non-renewable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.7,1.1
Renewables,11.4,10.5,9.0,8.9,9.2,10.5,12.7,16.1,18.4,19.5,21.0
o/w solar,2.8,3.1,3.3,3.9,3.5,3.9,5.4,7.9,9.1,9.3,10.3
o/w wind,2.2,1.6,1.0,0.8,1.3,1.6,1.4,1.9,3.1,4.3,5.1
o/w others,6.4,5.8,4.7,4.3,4.3,5.0,5.9,6.3,6.2,5.9,5.6
Fossil fuels: with CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other clean power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Large scale heat pumps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity networks,12.2,12.0,11.1,10.0,8.0,6.6,7.8,9.2,9.1,12.8,13.7
End-use,4.9,6.3,6.6,6.9,7.5,8.0,9.4,10.1,12.0,14.2,13.6
Energy efficiency,4.4,5.7,6.0,6.4,6.9,7.4,9.0,9.6,11.3,13.0,11.9
Buildings,3.5,3.8,4.1,4.3,4.6,4.8,5.2,5.6,6.7,7.7,7.9
Transport,0.2,1.1,1.1,1.1,1.6,1.6,2.7,3.0,3.5,4.1,2.7
Industry,0.7,0.8,0.9,0.9,0.8,0.9,1.0,1.0,1.1,1.3,1.3
Other end-use ,0.5,0.5,0.6,0.5,0.5,0.6,0.4,0.6,0.6,1.1,1.7
Buildings,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.7
Transport,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.8
Industry,0.1,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.1,0.3,0.2
Memo: Oil & gas upstream,96.9,71.4,58.5,53.4,50.0,30.9,31.8,34.5,42.2,47.7,42.2
Memo: Transitional fossil fuels,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.7
