EMDE,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,1439.7,1377.6,1346.1,1317.3,1308.2,1226.8,1297.6,1455.2,1632.8,1732.8,1768.6
total_clean_energy_usd_billion_2024_mer,580.4,636.3,639.1,614.6,605.6,601.8,632.6,769.0,902.4,967.2,1009.2
fuels_total_usd_billion_2024_mer,732.0,619.9,592.5,599.7,610.3,545.2,578.9,591.0,617.5,636.6,651.3
fuels_fossil_usd_billion_2024_mer,728.6,616.3,589.3,596.8,606.8,542.1,574.7,583.3,610.4,627.5,637.2
fuels_oil_usd_billion_2024_mer,438.7,364.4,346.8,356.8,349.3,305.9,323.7,313.6,328.3,334.5,329.3
fuels_gas_usd_billion_2024_mer,178.7,161.3,146.8,143.0,142.3,128.6,136.8,140.7,145.6,149.0,157.7
fuels_coal_usd_billion_2024_mer,111.2,90.6,95.7,97.0,115.2,107.6,114.2,129.0,136.6,144.0,150.2
fuels_clean_usd_billion_2024_mer,3.4,3.6,3.2,2.9,3.5,3.1,4.3,7.7,7.1,9.1,14.2
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_total_usd_billion_2024_mer,523.8,541.4,532.9,524.8,522.4,503.4,513.7,629.7,775.3,839.2,833.9
power_generation_total_usd_billion_2024_mer,332.0,339.5,344.4,348.9,371.3,362.4,373.1,478.1,608.1,650.5,635.6
power_generation_coal_unabated_usd_billion_2024_mer,76.1,68.3,63.1,59.4,55.9,52.5,56.3,61.5,65.0,72.6,77.7
power_generation_oil_gas_unabated_usd_billion_2024_mer,55.3,57.4,55.4,47.2,40.8,31.3,35.9,42.5,54.5,65.0,47.9
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.7,2.2,1.8
power_generation_nuclear_usd_billion_2024_mer,23.7,22.5,20.4,21.6,25.3,28.2,31.2,33.6,37.7,43.0,46.1
power_generation_renewables_total_usd_billion_2024_mer,177.0,191.3,205.6,220.6,249.3,250.3,249.7,339.5,448.5,466.2,459.7
power_generation_renewables_solar_usd_billion_2024_mer,57.5,89.0,91.6,88.1,87.8,82.9,103.6,184.2,268.9,279.7,269.7
power_generation_renewables_wind_usd_billion_2024_mer,64.2,48.0,58.3,71.1,97.0,102.4,82.7,95.6,122.8,131.4,133.6
power_generation_renewables_other_usd_billion_2024_mer,55.2,54.3,55.7,61.4,64.5,65.0,63.4,59.7,56.8,55.1,56.4
power_generation_fossil_ccus_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,0.7,0.7
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7
power_battery_storage_usd_billion_2024_mer,0.0,0.1,0.2,0.7,0.8,1.4,1.9,6.2,11.4,22.5,21.1
power_electricity_networks_usd_billion_2024_mer,191.8,201.8,188.2,175.3,150.3,139.7,138.7,145.4,155.8,166.2,177.2
enduse_total_usd_billion_2024_mer,183.9,216.4,220.7,192.8,175.4,178.1,205.0,234.4,240.0,257.0,283.3
enduse_energy_efficiency_total_usd_billion_2024_mer,97.7,112.2,117.3,116.6,118.0,114.5,117.0,116.0,125.7,138.6,139.7
enduse_energy_efficiency_buildings_usd_billion_2024_mer,68.5,70.8,73.4,73.4,76.0,75.3,79.4,80.2,86.5,92.7,94.2
enduse_energy_efficiency_transport_usd_billion_2024_mer,6.9,20.7,23.4,26.1,28.3,27.4,26.6,25.5,28.1,30.0,26.8
enduse_energy_efficiency_industry_usd_billion_2024_mer,22.3,20.6,20.5,17.0,13.7,11.8,11.0,10.3,11.1,15.9,18.6
enduse_other_total_usd_billion_2024_mer,86.1,104.2,103.4,76.2,57.4,63.7,88.0,118.4,114.3,118.4,143.6
enduse_other_buildings_usd_billion_2024_mer,22.7,24.9,26.8,28.2,27.9,26.8,25.0,24.0,24.6,27.4,30.9
enduse_other_transport_usd_billion_2024_mer,61.1,74.4,70.0,42.9,27.8,32.1,58.6,90.6,87.0,84.4,101.9
enduse_other_industry_usd_billion_2024_mer,2.3,4.9,6.5,5.1,1.8,4.8,4.4,3.8,2.8,6.6,10.8
memo_oil_gas_upstream_usd_billion_2024_mer,473.7,378.5,342.9,350.2,348.5,282.2,290.6,294.0,320.8,339.6,335.2
memo_transitional_fossil_usd_billion_2024_mer,0.6,0.6,0.8,0.8,1.0,0.9,1.8,1.9,1.3,1.7,5.2
