Eurasia,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,190.2,181.1,183.9,166.9,161.9,142.3,152.7,135.8,140.9,138.8,144.3
total_clean_energy_usd_billion_2024_mer,42.9,40.6,35.4,23.0,26.0,27.9,36.4,32.3,33.9,36.6,43.2
fuels_total_usd_billion_2024_mer,138.5,131.2,139.8,137.3,130.9,110.2,110.0,92.6,90.5,81.6,82.1
fuels_fossil_usd_billion_2024_mer,138.5,131.1,139.7,137.3,130.9,110.2,110.0,92.6,90.5,81.5,82.0
fuels_oil_usd_billion_2024_mer,85.0,78.9,87.8,88.6,84.2,68.3,65.2,53.7,52.3,46.2,48.8
fuels_gas_usd_billion_2024_mer,44.1,43.2,41.0,38.0,35.0,32.6,35.0,29.2,28.6,26.4,27.7
fuels_coal_usd_billion_2024_mer,9.4,9.0,10.9,10.7,11.7,9.3,9.8,9.7,9.5,9.0,5.5
fuels_clean_usd_billion_2024_mer,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_total_usd_billion_2024_mer,23.0,23.6,23.0,22.9,24.9,24.7,28.1,29.6,36.0,41.6,41.6
power_generation_total_usd_billion_2024_mer,13.8,14.2,13.7,14.0,16.2,17.1,20.1,23.6,28.9,33.9,33.4
power_generation_coal_unabated_usd_billion_2024_mer,1.5,1.0,0.7,0.5,0.5,1.1,2.2,3.4,4.7,5.6,5.9
power_generation_oil_gas_unabated_usd_billion_2024_mer,7.5,8.6,8.3,6.3,4.8,3.4,5.2,7.6,11.2,14.3,13.5
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.2,0.6
power_generation_nuclear_usd_billion_2024_mer,2.2,1.6,1.3,2.6,5.3,7.5,8.7,8.2,8.1,8.8,8.8
power_generation_renewables_total_usd_billion_2024_mer,2.7,3.0,3.4,4.6,5.7,5.0,4.0,3.7,3.8,4.0,4.5
power_generation_renewables_solar_usd_billion_2024_mer,0.2,0.3,0.9,2.0,2.2,1.5,1.3,1.4,1.5,1.7,1.9
power_generation_renewables_wind_usd_billion_2024_mer,0.1,0.2,0.3,0.7,1.7,2.1,1.4,1.2,1.1,1.0,1.1
power_generation_renewables_other_usd_billion_2024_mer,2.3,2.5,2.2,1.9,1.8,1.5,1.3,1.2,1.2,1.3,1.5
power_generation_fossil_ccus_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_battery_storage_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_electricity_networks_usd_billion_2024_mer,9.2,9.4,9.3,8.8,8.6,7.6,7.9,6.0,7.1,7.7,8.2
enduse_total_usd_billion_2024_mer,28.7,26.3,21.1,6.7,6.1,7.4,14.6,13.5,14.4,15.6,20.6
enduse_energy_efficiency_total_usd_billion_2024_mer,3.0,3.6,4.0,3.9,3.9,4.9,5.7,5.9,6.2,6.7,7.2
enduse_energy_efficiency_buildings_usd_billion_2024_mer,2.3,2.3,2.2,2.1,2.1,2.2,2.5,2.7,3.1,3.3,3.7
enduse_energy_efficiency_transport_usd_billion_2024_mer,0.2,0.6,1.0,1.1,1.2,1.8,2.3,2.4,2.1,2.1,2.5
enduse_energy_efficiency_industry_usd_billion_2024_mer,0.5,0.7,0.8,0.7,0.6,0.9,0.9,0.8,1.0,1.3,1.0
enduse_other_total_usd_billion_2024_mer,25.7,22.7,17.1,2.8,2.2,2.5,8.9,7.6,8.2,8.8,13.5
enduse_other_buildings_usd_billion_2024_mer,0.2,0.1,0.1,0.1,0.2,0.3,0.4,0.4,1.0,1.6,2.1
enduse_other_transport_usd_billion_2024_mer,25.4,22.3,16.8,2.4,1.9,2.2,6.8,6.7,7.2,7.1,11.1
enduse_other_industry_usd_billion_2024_mer,0.1,0.2,0.2,0.3,0.2,0.1,1.7,0.4,0.0,0.2,0.3
memo_oil_gas_upstream_usd_billion_2024_mer,99.2,88.6,93.2,95.0,93.4,76.4,73.4,61.6,57.6,51.3,54.2
memo_transitional_fossil_usd_billion_2024_mer,0.2,0.2,0.2,0.2,0.3,0.2,1.1,0.8,0.5,0.4,0.9
