Europe,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,369.3,344.7,352.8,362.3,365.5,375.6,432.4,478.8,526.6,544.2,575.8
total_clean_energy_usd_billion_2024_mer,247.6,249.2,260.7,273.0,279.1,304.0,355.6,404.9,448.3,462.1,494.4
fuels_total_usd_billion_2024_mer,103.8,80.5,79.5,78.3,76.5,63.3,68.0,64.9,69.9,74.0,81.9
fuels_fossil_usd_billion_2024_mer,102.6,79.2,78.0,76.6,75.0,61.7,66.0,62.7,66.4,69.2,75.4
fuels_oil_usd_billion_2024_mer,55.0,41.6,40.2,39.7,37.5,28.8,30.4,28.4,27.9,28.6,26.6
fuels_gas_usd_billion_2024_mer,44.8,35.6,33.9,33.4,33.9,30.4,32.9,31.5,35.5,37.8,43.6
fuels_coal_usd_billion_2024_mer,2.8,2.0,3.9,3.6,3.6,2.5,2.7,2.8,3.0,2.8,5.2
fuels_clean_usd_billion_2024_mer,1.2,1.3,1.5,1.6,1.5,1.6,2.0,2.2,3.5,4.8,6.5
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_total_usd_billion_2024_mer,171.8,161.8,157.5,161.1,159.8,168.0,200.9,229.7,255.8,268.7,287.6
power_generation_total_usd_billion_2024_mer,117.6,108.4,103.6,105.3,103.8,109.9,136.8,161.7,167.6,169.1,177.4
power_generation_coal_unabated_usd_billion_2024_mer,7.3,5.0,4.0,3.8,3.1,2.3,2.0,1.4,1.0,1.2,1.2
power_generation_oil_gas_unabated_usd_billion_2024_mer,11.9,11.6,10.4,9.2,8.5,8.0,9.0,9.9,11.0,12.0,6.2
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3
power_generation_nuclear_usd_billion_2024_mer,6.4,6.2,5.2,6.2,9.7,15.6,23.8,26.0,19.8,16.2,17.3
power_generation_renewables_total_usd_billion_2024_mer,92.0,85.7,84.0,86.1,82.4,84.0,102.0,124.2,135.4,138.1,149.9
power_generation_renewables_solar_usd_billion_2024_mer,16.8,14.6,15.9,30.2,37.8,38.7,50.8,67.9,77.2,68.1,64.4
power_generation_renewables_wind_usd_billion_2024_mer,51.5,47.9,46.8,37.7,29.1,32.1,38.8,41.7,40.4,48.3,61.2
power_generation_renewables_other_usd_billion_2024_mer,23.7,23.2,21.3,18.2,15.4,13.2,12.4,14.6,17.8,21.6,24.2
power_generation_fossil_ccus_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4
power_battery_storage_usd_billion_2024_mer,0.2,0.4,0.6,0.9,0.9,1.2,3.1,6.8,13.3,16.0,21.1
power_electricity_networks_usd_billion_2024_mer,54.1,53.0,53.3,54.9,55.0,56.8,61.0,61.2,74.8,83.6,89.1
enduse_total_usd_billion_2024_mer,93.6,102.5,115.8,123.0,129.1,144.4,163.5,184.2,200.9,201.5,206.2
enduse_energy_efficiency_total_usd_billion_2024_mer,60.5,65.2,70.6,74.4,76.2,77.2,83.9,90.0,95.3,94.9,94.7
enduse_energy_efficiency_buildings_usd_billion_2024_mer,54.1,57.2,61.6,63.6,65.4,65.9,71.5,77.9,82.6,83.2,82.4
enduse_energy_efficiency_transport_usd_billion_2024_mer,1.6,3.2,4.4,6.6,6.3,5.9,6.4,6.3,7.0,7.6,7.3
enduse_energy_efficiency_industry_usd_billion_2024_mer,4.9,4.7,4.6,4.2,4.6,5.4,5.9,5.8,5.8,4.1,5.1
enduse_other_total_usd_billion_2024_mer,33.1,37.3,45.2,48.6,52.9,67.2,79.6,94.3,105.6,106.6,111.5
enduse_other_buildings_usd_billion_2024_mer,17.3,19.4,21.6,23.3,26.1,27.8,27.8,29.0,32.7,37.8,42.4
enduse_other_transport_usd_billion_2024_mer,15.0,16.9,22.7,24.0,25.2,38.3,50.4,63.0,72.0,67.3,67.5
enduse_other_industry_usd_billion_2024_mer,0.8,1.0,0.9,1.3,1.6,1.1,1.5,2.2,0.8,1.5,1.7
memo_oil_gas_upstream_usd_billion_2024_mer,73.6,51.9,42.0,44.2,45.8,38.0,37.7,34.2,35.7,39.4,41.2
memo_transitional_fossil_usd_billion_2024_mer,0.2,0.2,0.3,0.3,0.3,0.4,0.1,0.3,0.4,0.4,0.5
