Middle East,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,177.4,161.4,149.0,149.0,145.1,149.7,154.5,154.3,158.4,176.7,185.2
total_clean_energy_usd_billion_2024_mer,30.9,33.7,30.3,26.5,22.1,24.1,22.2,23.9,28.3,33.0,40.7
fuels_total_usd_billion_2024_mer,135.0,116.3,107.7,112.8,114.2,118.6,124.6,121.4,119.4,132.0,135.2
fuels_fossil_usd_billion_2024_mer,135.0,116.3,107.7,112.8,114.2,118.6,124.6,121.3,119.2,131.3,133.6
fuels_oil_usd_billion_2024_mer,107.5,91.9,84.6,90.8,94.1,99.7,104.4,97.8,90.3,95.1,92.5
fuels_gas_usd_billion_2024_mer,27.4,24.3,23.1,22.0,20.0,18.9,20.2,23.4,28.9,36.2,40.8
fuels_coal_usd_billion_2024_mer,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
fuels_clean_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,1.6
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_total_usd_billion_2024_mer,36.7,38.2,34.8,29.3,24.3,25.0,24.2,26.7,29.0,32.6,35.2
power_generation_total_usd_billion_2024_mer,16.1,16.3,16.8,15.8,14.2,11.9,13.1,14.8,16.3,19.4,21.1
power_generation_coal_unabated_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2
power_generation_oil_gas_unabated_usd_billion_2024_mer,11.7,11.6,11.3,9.9,9.1,7.2,7.8,9.0,10.6,12.2,10.8
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_nuclear_usd_billion_2024_mer,2.5,2.5,2.5,2.5,2.5,2.1,1.5,1.0,0.7,1.1,1.4
power_generation_renewables_total_usd_billion_2024_mer,1.9,2.2,3.1,3.5,2.7,2.5,3.6,4.6,4.8,5.9,8.7
power_generation_renewables_solar_usd_billion_2024_mer,1.2,1.5,2.1,2.4,1.4,0.8,1.9,3.1,3.7,4.7,6.1
power_generation_renewables_wind_usd_billion_2024_mer,0.2,0.3,0.7,0.7,0.5,0.5,0.3,0.1,0.1,0.6,1.8
power_generation_renewables_other_usd_billion_2024_mer,0.5,0.4,0.3,0.3,0.8,1.2,1.4,1.5,1.0,0.6,0.7
power_generation_fossil_ccus_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_battery_storage_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
power_electricity_networks_usd_billion_2024_mer,20.6,21.9,18.0,13.5,9.9,13.2,11.1,11.9,12.6,13.3,14.2
enduse_total_usd_billion_2024_mer,5.7,6.9,6.5,6.9,6.7,6.1,5.7,6.2,10.0,12.1,14.8
enduse_energy_efficiency_total_usd_billion_2024_mer,4.3,5.7,5.5,5.9,5.8,5.1,4.6,4.9,5.0,5.7,6.8
enduse_energy_efficiency_buildings_usd_billion_2024_mer,1.8,1.9,1.9,2.0,2.0,1.8,1.9,2.1,2.3,2.5,2.6
enduse_energy_efficiency_transport_usd_billion_2024_mer,0.8,1.6,1.1,1.2,1.2,1.1,1.1,1.2,1.4,1.2,1.6
enduse_energy_efficiency_industry_usd_billion_2024_mer,1.8,2.2,2.5,2.7,2.6,2.1,1.6,1.6,1.4,2.0,2.6
enduse_other_total_usd_billion_2024_mer,1.4,1.2,1.0,0.9,0.9,0.9,1.1,1.3,5.0,6.4,8.0
enduse_other_buildings_usd_billion_2024_mer,1.3,1.2,1.0,0.9,0.9,0.9,1.0,1.1,1.8,2.7,3.8
enduse_other_transport_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,3.2,3.7,4.2
enduse_other_industry_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memo_oil_gas_upstream_usd_billion_2024_mer,92.2,79.2,74.1,79.5,73.6,64.7,66.4,75.0,85.5,98.0,95.8
memo_transitional_fossil_usd_billion_2024_mer,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.1
