North America,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,622.3,527.6,558.8,584.2,570.6,485.0,529.2,613.1,681.4,701.0,690.4
total_clean_energy_usd_billion_2024_mer,238.2,242.0,240.1,244.7,260.3,267.7,289.8,320.7,373.2,408.6,441.0
fuels_total_usd_billion_2024_mer,364.5,264.7,300.8,325.8,300.7,207.7,231.6,285.3,300.4,285.4,246.9
fuels_fossil_usd_billion_2024_mer,362.9,263.0,298.9,324.3,299.0,205.8,229.7,281.8,295.8,279.7,240.0
fuels_oil_usd_billion_2024_mer,265.4,182.0,212.1,233.7,216.5,139.8,159.7,197.0,208.6,195.9,165.0
fuels_gas_usd_billion_2024_mer,92.7,76.4,81.0,85.2,77.2,61.9,66.3,81.2,83.8,80.6,72.4
fuels_coal_usd_billion_2024_mer,4.8,4.7,5.9,5.4,5.3,4.0,3.7,3.7,3.4,3.2,2.6
fuels_clean_usd_billion_2024_mer,1.6,1.7,1.9,1.5,1.7,1.9,1.8,3.4,4.4,5.5,6.3
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.6
power_total_usd_billion_2024_mer,171.4,170.8,156.4,156.9,160.7,167.5,179.1,202.2,236.5,263.9,284.7
power_generation_total_usd_billion_2024_mer,102.0,99.8,83.5,83.4,84.3,84.7,86.5,100.0,120.1,133.4,143.3
power_generation_coal_unabated_usd_billion_2024_mer,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3
power_generation_oil_gas_unabated_usd_billion_2024_mer,21.5,22.9,20.1,15.6,11.8,12.0,10.7,11.8,12.7,13.0,11.6
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.8,1.2
power_generation_nuclear_usd_billion_2024_mer,13.2,12.0,10.8,9.4,7.0,4.4,5.1,8.2,10.7,12.0,10.2
power_generation_renewables_total_usd_billion_2024_mer,66.3,64.2,52.4,58.4,65.4,68.2,70.6,79.8,96.1,107.4,116.4
power_generation_renewables_solar_usd_billion_2024_mer,35.1,39.8,30.7,34.7,40.7,43.8,49.7,60.2,76.2,83.5,84.5
power_generation_renewables_wind_usd_billion_2024_mer,24.7,20.2,17.4,19.4,20.5,20.1,16.1,13.4,11.8,14.3,20.8
power_generation_renewables_other_usd_billion_2024_mer,6.6,4.2,4.4,4.3,4.2,4.3,4.7,6.3,8.1,9.6,11.1
power_generation_fossil_ccus_usd_billion_2024_mer,0.9,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_battery_storage_usd_billion_2024_mer,0.2,0.2,0.3,0.5,0.7,1.7,3.8,8.8,13.1,17.0,20.4
power_electricity_networks_usd_billion_2024_mer,69.2,70.8,72.6,73.0,75.8,81.1,88.8,93.3,103.3,113.5,121.0
enduse_total_usd_billion_2024_mer,86.4,92.1,101.6,101.5,109.1,109.8,118.5,125.7,144.5,151.7,158.8
enduse_energy_efficiency_total_usd_billion_2024_mer,61.9,64.5,68.0,67.2,70.1,70.0,74.4,79.0,84.3,87.4,84.2
enduse_energy_efficiency_buildings_usd_billion_2024_mer,58.2,59.3,63.2,62.3,64.6,64.9,67.7,69.9,72.9,73.8,71.1
enduse_energy_efficiency_transport_usd_billion_2024_mer,1.8,3.0,2.8,3.0,3.2,3.0,4.3,5.9,7.4,9.0,8.2
enduse_energy_efficiency_industry_usd_billion_2024_mer,1.9,2.1,2.1,1.9,2.3,2.0,2.4,3.2,4.0,4.6,4.9
enduse_other_total_usd_billion_2024_mer,24.4,27.6,33.6,34.3,39.1,39.7,44.1,46.7,60.2,64.3,74.6
enduse_other_buildings_usd_billion_2024_mer,19.6,21.4,27.5,25.4,31.4,32.4,31.1,25.8,32.8,36.3,42.7
enduse_other_transport_usd_billion_2024_mer,4.5,5.3,5.3,8.8,7.5,6.2,11.3,20.0,26.2,26.4,29.6
enduse_other_industry_usd_billion_2024_mer,0.3,0.9,0.8,0.1,0.2,1.1,1.7,0.9,1.2,1.6,2.2
memo_oil_gas_upstream_usd_billion_2024_mer,276.5,164.3,198.0,236.5,228.8,138.0,148.4,196.3,222.0,201.7,179.2
memo_transitional_fossil_usd_billion_2024_mer,0.3,0.3,0.3,0.3,0.4,0.5,1.1,1.4,0.8,1.2,3.6
